id;descricao;categoria;und_medida;created;modified;quantidade
129;Knorr de frango 12 cubos;TEMPEROS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
130;Leite em pó 1kg;LACTICINIOS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
131;Refrigerante Coca Cola 2L;BEBIDAS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
132;Legumes em lata de 280g;HORTIFRUTI;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
133;Ervilha em lata;HORTIFRUTI;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
134;Milho verde em lata;TEMPEROS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
135;Ervilha em sachê;TEMPEROS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
136;Sardinha 125g;ACOUGUE;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
137;Macarrão lasanha 500g;COZINHA;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
138;Rapadura 1kg;TEMPEROS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
139;Refrigerante Pitchula laranja 200ml;BEBIDAS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
140;Presunto fatiado;ACOUGUE;Kg;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
141;Queijo em barra;LACTICINIOS;Kg;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
142;Molho shoyu;COZINHA;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
143;Maionese em Sachê;LACTICINIOS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
144;Milho com Ervilha em lata;COZINHA;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
145;Cebola;HORTIFRUTI;Kg;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
146;Queijo Mussarela;LACTICINIOS;Kg;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
147;Carne moída;ACOUGUE;Kg;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
148;Refrigerante Coca Cola lata 350ml;BEBIDAS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
149;Linguiça toscana;ACOUGUE;Kg;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
150;Coco;COZINHA;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
151;Carne;ACOUGUE;Kg;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
152;Linguiça calabresa;ACOUGUE;Kg;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
153;Massa de pastel 1kg;ACOUGUE;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
154;Knorr de frango 6 cubos;COZINHA;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
155;Repolho;HORTIFRUTI;Kg;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
156;Farinha Branca1kg;COZINHA;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
157;Pacotinho de pimenta 50g;TEMPEROS;Und;2023-05-28T17:51:17.749;2023-05-28T17:51:17.749;0
